PlayerName,Date,MatchType(OneDay-T20-Test),OppositionTeam,TossWin,BowlingFirst,BattingFirst,hometeam,LastMatchesPerformance,Last3MatchesPerformance,Last6MatchesPerformance,weather,pitch,Form(InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs. For Bowler: Wickets)
Shoaib Malik,17/01/2016,T20,New Zealand,Pakistan,New Zealand,Pakistan,New Zeland,Bad,Good,Good,,,In,4,39
Shoaib Malik,15/01/2016,T20,New Zealand,New Zealand,New Zealand,Pakistan,New Zeland,Good,Good,Good,,,In,4,20
Shoaib Malik,30/11/2015,T20,England,England,Pakistan,England,Pakistan,Good,Good,Bad,,,Out,4,75
Shoaib Malik,27/11/2015,T20,England,England,Pakistan,England,Pakistan,Bad,Bad,Bad,,,Out,4,26
Shoaib Malik,29/09/2015,T20,Zimbabwe,Pakistan,Pakistan,Zimbabwe,Zimbabwe,Good,Good,Bad,,,Out,4,15
Shoaib Malik,27/09/2015,T20,Zimbabwe,Pakistan,Zimbabwe,Pakistan,Zimbabwe,Bad,Bad,Bad,,,Out,4,35
Shoaib Malik,1/8/2015,T20,Sri Lanka,Sri Lanka,Pakistan,Sri Lanka,Sri Lanka,Good,Bad,Bad,,,Out,4,8
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
